ase_id,chr,strand,out_donor,out_acceptor,in_junction
1@+@212615022^212615062-@212615021^212615023-212615062^212615064-,1,+,212615022^,212615062-,212615021^212615023-212615062^212615064-
1@+@212619266^212619358-@212619265^212619267-212619358^212619360-,1,+,212619266^,212619358-,212619265^212619267-212619358^212619360-
1@-@182939467^182939394-@182939469^182939467-182939395^182939393-,1,-,182939467^,182939394-,182939469^182939467-182939395^182939393-
1@+@182548824^182551100-@182548823^182548825-182551100^182551102-,1,+,182548824^,182551100-,182548823^182548825-182551100^182551102-
1@+@182554693^182556024-@182554692^182554694-182556024^182556026-,1,+,182554693^,182556024-,182554692^182554694-182556024^182556026-
1@+@192575929^192576285-@192575928^192575930-192576285^192576287-,1,+,192575929^,192576285-,192575928^192575930-192576285^192576287-
1@+@192576835^192578222-@192576834^192576836-192578222^192578224-,1,+,192576835^,192578222-,192576834^192576836-192578222^192578224-
1@-@221333916^221333074-@221333918^221333916-221333075^221333073-,1,-,221333916^,221333074-,221333918^221333916-221333075^221333073-
1@-@221333902^221333074-@221333904^221333902-221333075^221333073-,1,-,221333902^,221333074-,221333904^221333902-221333075^221333073-
1@-@221333835^221333074-@221333837^221333835-221333075^221333073-,1,-,221333835^,221333074-,221333837^221333835-221333075^221333073-
1@-@221333835^221333070-@221333837^221333835-221333071^221333069-,1,-,221333835^,221333070-,221333837^221333835-221333071^221333069-
1@-@201900338^201899428-@201900340^201900338-201899429^201899427-,1,-,201900338^,201899428-,201900340^201900338-201899429^201899427-
1@-@112610841^112610690-@112610843^112610841-112610691^112610689-,1,-,112610841^,112610690-,112610843^112610841-112610691^112610689-
1@-@233218031^233217931-@233218033^233218031-233217932^233217930-,1,-,233218031^,233217931-,233218033^233218031-233217932^233217930-
1@-@232986092^232984477-@232986094^232986092-232984478^232984476-,1,-,232986092^,232984477-,232986094^232986092-232984478^232984476-
1@-@105953372^105952600-@105953374^105953372-105952601^105952599-,1,-,105953372^,105952600-,105953374^105953372-105952601^105952599-
1@+@20648632^20648995-@20648631^20648633-20648995^20648997-,1,+,20648632^,20648995-,20648631^20648633-20648995^20648997-
1@+@23694791^23695798-@23694790^23694792-23695798^23695800-,1,+,23694791^,23695798-,23694790^23694792-23695798^23695800-
1@+@23794325^23794552-@23794324^23794326-23794552^23794554-,1,+,23794325^,23794552-,23794324^23794326-23794552^23794554-
1@+@23794325^23794427-@23794324^23794326-23794427^23794429-,1,+,23794325^,23794427-,23794324^23794326-23794427^23794429-
1@-@23798615^23798230-@23798617^23798615-23798231^23798229-,1,-,23798615^,23798230-,23798617^23798615-23798231^23798229-
1@-@23798615^23798225-@23798617^23798615-23798226^23798224-,1,-,23798615^,23798225-,23798617^23798615-23798226^23798224-
1@-@23796697^23796586-@23796699^23796697-23796587^23796585-,1,-,23796697^,23796586-,23796699^23796697-23796587^23796585-
1@+@159809060^159809197-@159809059^159809061-159809197^159809199-,1,+,159809060^,159809197-,159809059^159809061-159809197^159809199-
1@-@159858090^159857966-@159858092^159858090-159857967^159857965-,1,-,159858090^,159857966-,159858092^159858090-159857967^159857965-
1@-@159858169^159857966-@159858171^159858169-159857967^159857965-,1,-,159858169^,159857966-,159858171^159858169-159857967^159857965-
1@-@159840711^159838451-@159840713^159840711-159838452^159838450-,1,-,159840711^,159838451-,159840713^159840711-159838452^159838450-
1@-@159840769^159838451-@159840771^159840769-159838452^159838450-,1,-,159840769^,159838451-,159840771^159840769-159838452^159838450-
1@-@159840769^159838655-@159840771^159840769-159838656^159838654-,1,-,159840769^,159838655-,159840771^159840769-159838656^159838654-
1@-@159838365^159838027-@159838367^159838365-159838028^159838026-,1,-,159838365^,159838027-,159838367^159838365-159838028^159838026-
1@-@159840711^159838027-@159840713^159840711-159838028^159838026-,1,-,159840711^,159838027-,159840713^159840711-159838028^159838026-
1@-@159840769^159838027-@159840771^159840769-159838028^159838026-,1,-,159840769^,159838027-,159840771^159840769-159838028^159838026-
1@-@159840711^159838027-@159840713^159840711-159838028^159838026-,1,-,159840711^,159838027-,159840713^159840711-159838028^159838026-
1@-@159841126^159838027-@159841128^159841126-159838028^159838026-,1,-,159841126^,159838027-,159841128^159841126-159838028^159838026-
1@-@159841126^159840866-@159841128^159841126-159840867^159840865-,1,-,159841126^,159840866-,159841128^159841126-159840867^159840865-
1@-@159841126^159840881-@159841128^159841126-159840882^159840880-,1,-,159841126^,159840881-,159841128^159841126-159840882^159840880-
1@-@159835979^159835777-@159835981^159835979-159835778^159835776-,1,-,159835979^,159835777-,159835981^159835979-159835778^159835776-
1@-@159835979^159835777-@159835981^159835979-159835778^159835776-,1,-,159835979^,159835777-,159835981^159835979-159835778^159835776-
1@-@159837917^159836155-@159837919^159837917-159836156^159836154-,1,-,159837917^,159836155-,159837919^159837917-159836156^159836154-
1@+@155133568^155133730-@155133567^155133569-155133730^155133732-,1,+,155133568^,155133730-,155133567^155133569-155133730^155133732-
1@+@155138509^155138760-@155138508^155138510-155138760^155138762-,1,+,155138509^,155138760-,155138508^155138510-155138760^155138762-
1@-@155172738^155172628-@155172740^155172738-155172629^155172627-,1,-,155172738^,155172628-,155172740^155172738-155172629^155172627-
1@-@155235681^155235311-@155235683^155235681-155235312^155235310-,1,-,155235681^,155235311-,155235683^155235681-155235312^155235310-
1@+@155284135^155284539-@155284134^155284136-155284539^155284541-,1,+,155284135^,155284539-,155284134^155284136-155284539^155284541-
1@+@203861743^203862182-@203861742^203861744-203862182^203862184-,1,+,203861743^,203862182-,203861742^203861744-203862182^203862184-
1@-@231225471^231224414-@231225473^231225471-231224415^231224413-,1,-,231225471^,231224414-,231225473^231225471-231224415^231224413-
1@+@108696337^108696740-@108696336^108696338-108696740^108696742-,1,+,108696337^,108696740-,108696336^108696338-108696740^108696742-
1@+@155738258^155738609-@155738257^155738259-155738609^155738611-,1,+,155738258^,155738609-,155738257^155738259-155738609^155738611-
1@-@155915873^155914320-@155915875^155915873-155914321^155914319-,1,-,155915873^,155914320-,155915875^155915873-155914321^155914319-
1@-@156012385^156011887-@156012387^156012385-156011888^156011886-,1,-,156012385^,156011887-,156012387^156012385-156011888^156011886-
1@-@156012395^156011887-@156012397^156012395-156011888^156011886-,1,-,156012395^,156011887-,156012397^156012395-156011888^156011886-
1@+@156285267^156285525-@156285266^156285268-156285525^156285527-,1,+,156285267^,156285525-,156285266^156285268-156285525^156285527-
1@+@156285983^156286260-@156285982^156285984-156286260^156286262-,1,+,156285983^,156286260-,156285982^156285984-156286260^156286262-
1@+@156285267^156286260-@156285266^156285268-156286260^156286262-,1,+,156285267^,156286260-,156285266^156285268-156286260^156286262-
1@+@156378140^156378252-@156378139^156378141-156378252^156378254-,1,+,156378140^,156378252-,156378139^156378141-156378252^156378254-
1@+@156382201^156382748-@156382200^156382202-156382748^156382750-,1,+,156382201^,156382748-,156382200^156382202-156382748^156382750-
1@+@151264918^151265166-@151264917^151264919-151265166^151265168-,1,+,151264918^,151265166-,151264917^151264919-151265166^151265168-
1@+@151266121^151266308-@151266120^151266122-151266308^151266310-,1,+,151266121^,151266308-,151266120^151266122-151266308^151266310-
1@+@151266112^151266308-@151266111^151266113-151266308^151266310-,1,+,151266112^,151266308-,151266111^151266113-151266308^151266310-
1@-@248855725^248855635-@248855727^248855725-248855636^248855634-,1,-,248855725^,248855635-,248855727^248855725-248855636^248855634-
1@+@12029281^12029765-@12029280^12029282-12029765^12029767-,1,+,12029281^,12029765-,12029280^12029282-12029765^12029767-
1@+@12029894^12030028-@12029893^12029895-12030028^12030030-,1,+,12029894^,12030028-,12029893^12029895-12030028^12030030-
1@+@161167234^161167371-@161167233^161167235-161167371^161167373-,1,+,161167234^,161167371-,161167233^161167235-161167371^161167373-
1@+@161167234^161167339-@161167233^161167235-161167339^161167341-,1,+,161167234^,161167339-,161167233^161167235-161167339^161167341-
1@+@161167234^161167355-@161167233^161167235-161167355^161167357-,1,+,161167234^,161167355-,161167233^161167235-161167355^161167357-
1@+@161170949^161171034-@161170948^161170950-161171034^161171036-,1,+,161170949^,161171034-,161170948^161170950-161171034^161171036-
1@+@161170949^161171034-@161170948^161170950-161171034^161171036-,1,+,161170949^,161171034-,161170948^161170950-161171034^161171036-
1@-@161176912^161176579-@161176914^161176912-161176580^161176578-,1,-,161176912^,161176579-,161176914^161176912-161176580^161176578-
1@-@161173859^161173727-@161173861^161173859-161173728^161173726-,1,-,161173859^,161173727-,161173861^161173859-161173728^161173726-
1@-@161231117^161230933-@161231119^161231117-161230934^161230932-,1,-,161231117^,161230933-,161231119^161231117-161230934^161230932-
1@-@161231117^161230918-@161231119^161231117-161230919^161230917-,1,-,161231117^,161230918-,161231119^161231117-161230919^161230917-
1@+@11981853^11981970-@11981852^11981854-11981970^11981972-,1,+,11981853^,11981970-,11981852^11981854-11981970^11981972-
1@+@11998878^11998988-@11998877^11998879-11998988^11998990-,1,+,11998878^,11998988-,11998877^11998879-11998988^11998990-
1@-@40312456^40312112-@40312458^40312456-40312113^40312111-,1,-,40312456^,40312112-,40312458^40312456-40312113^40312111-
1@+@40457071^40457344-@40457070^40457072-40457344^40457346-,1,+,40457071^,40457344-,40457070^40457072-40457344^40457346-
1@-@161305534^161305289-@161305536^161305534-161305290^161305288-,1,-,161305534^,161305289-,161305536^161305534-161305290^161305288-
1@-@25903641^25901682-@25903643^25903641-25901683^25901681-,1,-,25903641^,25901682-,25903643^25903641-25901683^25901681-
1@+@44649957^44650704-@44649956^44649958-44650704^44650706-,1,+,44649957^,44650704-,44649956^44649958-44650704^44650706-
1@+@44724392^44724539-@44724391^44724393-44724539^44724541-,1,+,44724392^,44724539-,44724391^44724393-44724539^44724541-
1@+@44803153^44803268-@44803152^44803154-44803268^44803270-,1,+,44803153^,44803268-,44803152^44803154-44803268^44803270-
1@+@44803691^44803931-@44803690^44803692-44803931^44803933-,1,+,44803691^,44803931-,44803690^44803692-44803931^44803933-
1@+@44804501^44804650-@44804500^44804502-44804650^44804652-,1,+,44804501^,44804650-,44804500^44804502-44804650^44804652-
1@-@45005997^45005883-@45005999^45005997-45005884^45005882-,1,-,45005997^,45005883-,45005999^45005997-45005884^45005882-
1@+@45013215^45013292-@45013214^45013216-45013292^45013294-,1,+,45013215^,45013292-,45013214^45013216-45013292^45013294-
1@+@45014070^45014736-@45014069^45014071-45014736^45014738-,1,+,45014070^,45014736-,45014069^45014071-45014736^45014738-
1@+@27850414^27851540-@27850413^27850415-27851540^27851542-,1,+,27850414^,27851540-,27850413^27850415-27851540^27851542-
1@+@27882125^27882513-@27882124^27882126-27882513^27882515-,1,+,27882125^,27882513-,27882124^27882126-27882513^27882515-
1@+@27882077^27882513-@27882076^27882078-27882513^27882515-,1,+,27882077^,27882513-,27882076^27882078-27882513^27882515-
1@-@16976897^16976794-@16976899^16976897-16976795^16976793-,1,-,16976897^,16976794-,16976899^16976897-16976795^16976793-
1@-@16986805^16986632-@16986807^16986805-16986633^16986631-,1,-,16986805^,16986632-,16986807^16986805-16986633^16986631-
1@-@17075679^17074949-@17075681^17075679-17074950^17074948-,1,-,17075679^,17074949-,17075681^17075679-17074950^17074948-
1@+@17239783^17240635-@17239782^17239784-17240635^17240637-,1,+,17239783^,17240635-,17239782^17239784-17240635^17240637-
1@+@85581578^85581928-@85581577^85581579-85581928^85581930-,1,+,85581578^,85581928-,85581577^85581579-85581928^85581930-
1@+@222837066^222837219-@222837065^222837067-222837219^222837221-,1,+,222837066^,222837219-,222837065^222837067-222837219^222837221-
1@+@222837066^222837219-@222837065^222837067-222837219^222837221-,1,+,222837066^,222837219-,222837065^222837067-222837219^222837221-
1@+@222837066^222837219-@222837065^222837067-222837219^222837221-,1,+,222837066^,222837219-,222837065^222837067-222837219^222837221-
1@+@222992110^222994885-@222992109^222992111-222994885^222994887-,1,+,222992110^,222994885-,222992109^222992111-222994885^222994887-
1@+@119741876^119742807-@119741875^119741877-119742807^119742809-,1,+,119741876^,119742807-,119741875^119741877-119742807^119742809-
1@+@119741897^119742807-@119741896^119741898-119742807^119742809-,1,+,119741897^,119742807-,119741896^119741898-119742807^119742809-
1@+@235436450^235436544-@235436449^235436451-235436544^235436546-,1,+,235436450^,235436544-,235436449^235436451-235436544^235436546-
1@+@235435840^235436386-@235435839^235435841-235436386^235436388-,1,+,235435840^,235436386-,235435839^235435841-235436386^235436388-
1@+@235448440^235448670-@235448439^235448441-235448670^235448672-,1,+,235448440^,235448670-,235448439^235448441-235448670^235448672-
1@-@153930947^153930857-@153930949^153930947-153930858^153930856-,1,-,153930947^,153930857-,153930949^153930947-153930858^153930856-
1@-@153955065^153954989-@153955067^153955065-153954990^153954988-,1,-,153955065^,153954989-,153955067^153955065-153954990^153954988-
1@+@153969176^153969334-@153969175^153969177-153969334^153969336-,1,+,153969176^,153969334-,153969175^153969177-153969334^153969336-
1@+@153972836^153972972-@153972835^153972837-153972972^153972974-,1,+,153972836^,153972972-,153972835^153972837-153972972^153972974-
1@-@153976976^153976775-@153976978^153976976-153976776^153976774-,1,-,153976976^,153976775-,153976978^153976976-153976776^153976774-
1@+@153990802^153990914-@153990801^153990803-153990914^153990916-,1,+,153990802^,153990914-,153990801^153990803-153990914^153990916-
1@-@3837288^3836692-@3837290^3837288-3836693^3836691-,1,-,3837288^,3836692-,3837290^3837288-3836693^3836691-
1@-@3837292^3836692-@3837294^3837292-3836693^3836691-,1,-,3837292^,3836692-,3837294^3837292-3836693^3836691-
1@+@3883800^3885038-@3883799^3883801-3885038^3885040-,1,+,3883800^,3885038-,3883799^3883801-3885038^3885040-
1@-@147648246^147647566-@147648248^147648246-147647567^147647565-,1,-,147648246^,147647566-,147648248^147648246-147647567^147647565-
1@-@110603889^110602170-@110603891^110603889-110602171^110602169-,1,-,110603889^,110602170-,110603891^110603889-110602171^110602169-
1@-@110603893^110602170-@110603895^110603893-110602171^110602169-,1,-,110603893^,110602170-,110603895^110603893-110602171^110602169-
1@-@44807325^44806838-@44807327^44807325-44806839^44806837-,1,-,44807325^,44806838-,44807327^44807325-44806839^44806837-
1@-@6466069^6465560-@6466071^6466069-6465561^6465559-,1,-,6466069^,6465560-,6466071^6466069-6465561^6465559-
1@-@6463072^6462970-@6463074^6463072-6462971^6462969-,1,-,6463072^,6462970-,6463074^6463072-6462971^6462969-
1@-@6463072^6462956-@6463074^6463072-6462957^6462955-,1,-,6463072^,6462956-,6463074^6463072-6462957^6462955-
1@-@6463065^6462970-@6463067^6463065-6462971^6462969-,1,-,6463065^,6462970-,6463067^6463065-6462971^6462969-
1@-@109107007^109106659-@109107009^109107007-109106660^109106658-,1,-,109107007^,109106659-,109107009^109107007-109106660^109106658-
1@-@156246123^156245987-@156246125^156246123-156245988^156245986-,1,-,156246123^,156245987-,156246125^156246123-156245988^156245986-
1@-@40092398^40092172-@40092400^40092398-40092173^40092171-,1,-,40092398^,40092172-,40092400^40092398-40092173^40092171-
1@-@6468099^6467898-@6468101^6468099-6467899^6467897-,1,-,6468099^,6467898-,6468101^6468099-6467899^6467897-
1@-@1406909^1405886-@1406911^1406909-1405887^1405885-,1,-,1406909^,1405886-,1406911^1406909-1405887^1405885-
1@+@43936231^43936302-@43936230^43936232-43936302^43936304-,1,+,43936231^,43936302-,43936230^43936232-43936302^43936304-
1@+@43976379^43976590-@43976378^43976380-43976590^43976592-,1,+,43976379^,43976590-,43976378^43976380-43976590^43976592-
1@+@43977216^43977981-@43977215^43977217-43977981^43977983-,1,+,43977216^,43977981-,43977215^43977217-43977981^43977983-
1@+@43992004^43992212-@43992003^43992005-43992212^43992214-,1,+,43992004^,43992212-,43992003^43992005-43992212^43992214-
1@+@43992004^43992153-@43992003^43992005-43992153^43992155-,1,+,43992004^,43992153-,43992003^43992005-43992153^43992155-
1@+@43993964^43995108-@43993963^43993965-43995108^43995110-,1,+,43993964^,43995108-,43993963^43993965-43995108^43995110-
1@+@43995670^43995778-@43995669^43995671-43995778^43995780-,1,+,43995670^,43995778-,43995669^43995671-43995778^43995780-
1@-@44000956^44000867-@44000958^44000956-44000868^44000866-,1,-,44000956^,44000867-,44000958^44000956-44000868^44000866-
1@+@1633120^1633188-@1633119^1633121-1633188^1633190-,1,+,1633120^,1633188-,1633119^1633121-1633188^1633190-
1@+@1633912^1633989-@1633911^1633913-1633989^1633991-,1,+,1633912^,1633989-,1633911^1633913-1633989^1633991-
1@-@1722708^1722634-@1722710^1722708-1722635^1722633-,1,-,1722708^,1722634-,1722710^1722708-1722635^1722633-
1@-@1704550^1704344-@1704552^1704550-1704345^1704343-,1,-,1704550^,1704344-,1704552^1704550-1704345^1704343-
1@-@1704223^1704146-@1704225^1704223-1704147^1704145-,1,-,1704223^,1704146-,1704225^1704223-1704147^1704145-
1@-@1703824^1703624-@1703826^1703824-1703625^1703623-,1,-,1703824^,1703624-,1703826^1703824-1703625^1703623-
1@-@1919182^1919088-@1919184^1919182-1919089^1919087-,1,-,1919182^,1919088-,1919184^1919182-1919089^1919087-
1@-@1919045^1918934-@1919047^1919045-1918935^1918933-,1,-,1919045^,1918934-,1919047^1919045-1918935^1918933-
1@-@1918893^1918431-@1918895^1918893-1918432^1918430-,1,-,1918893^,1918431-,1918895^1918893-1918432^1918430-
1@+@31583241^31583461-@31583240^31583242-31583461^31583463-,1,+,31583241^,31583461-,31583240^31583242-31583461^31583463-
1@+@31583575^31584678-@31583574^31583576-31584678^31584680-,1,+,31583575^,31584678-,31583574^31583576-31584678^31584680-
1@+@31585036^31585151-@31585035^31585037-31585151^31585153-,1,+,31585036^,31585151-,31585035^31585037-31585151^31585153-
1@+@31585485^31585753-@31585484^31585486-31585753^31585755-,1,+,31585485^,31585753-,31585484^31585486-31585753^31585755-
1@+@31585876^31586710-@31585875^31585877-31586710^31586712-,1,+,31585876^,31586710-,31585875^31585877-31586710^31586712-
1@-@39576552^39576223-@39576554^39576552-39576224^39576222-,1,-,39576552^,39576223-,39576554^39576552-39576224^39576222-
1@-@39568802^39567846-@39568804^39568802-39567847^39567845-,1,-,39568802^,39567846-,39568804^39568802-39567847^39567845-
1@-@39563836^39563741-@39563838^39563836-39563742^39563740-,1,-,39563836^,39563741-,39563838^39563836-39563742^39563740-
1@-@39564423^39563741-@39564425^39564423-39563742^39563740-,1,-,39564423^,39563741-,39564425^39564423-39563742^39563740-
1@-@39564423^39563922-@39564425^39564423-39563923^39563921-,1,-,39564423^,39563922-,39564425^39564423-39563923^39563921-
1@-@39564471^39563741-@39564473^39564471-39563742^39563740-,1,-,39564471^,39563741-,39564473^39564471-39563742^39563740-
1@-@39563614^39562416-@39563616^39563614-39562417^39562415-,1,-,39563614^,39562416-,39563616^39563614-39562417^39562415-
1@-@39563614^39562416-@39563616^39563614-39562417^39562415-,1,-,39563614^,39562416-,39563616^39563614-39562417^39562415-
1@-@39564423^39563922-@39564425^39564423-39563923^39563921-,1,-,39564423^,39563922-,39564425^39564423-39563923^39563921-
1@-@39564471^39563922-@39564473^39564471-39563923^39563921-,1,-,39564471^,39563922-,39564473^39564471-39563923^39563921-
1@-@39564686^39564542-@39564688^39564686-39564543^39564541-,1,-,39564686^,39564542-,39564688^39564686-39564543^39564541-
1@+@150509762^150509922-@150509761^150509763-150509922^150509924-,1,+,150509762^,150509922-,150509761^150509763-150509922^150509924-
1@+@150509756^150509835-@150509755^150509757-150509835^150509837-,1,+,150509756^,150509835-,150509755^150509757-150509835^150509837-
