ase_id,chr,strand,out_donor,out_acceptor,in_junction
1@-@53275655^53266647-@53275631^53271346-53271227^53271153-53271028^53266647-,1,-,53275655^,53266647-,53275631^53271346-53271227^53271153-53271028^53266647-
1@-@53275655^53266647-@53275631^53272642-53272604^53271346-53271227^53271153-53271028^53266647-,1,-,53275655^,53266647-,53275631^53272642-53272604^53271346-53271227^53271153-53271028^53266647-
1@-@53275655^53266647-@53275631^53271415-53271227^53271153-53271028^53266647-,1,-,53275655^,53266647-,53275631^53271415-53271227^53271153-53271028^53266647-
1@-@53246956^53245981-@53246924^53245981-,1,-,53246956^,53245981-,53246924^53245981-
1@-@53246924^53245981-@53246918^53245981-,1,-,53246924^,53245981-,53246918^53245981-
1@-@53246956^53245981-@53246918^53245981-,1,-,53246956^,53245981-,53246918^53245981-
1@+@73306274^73307168-@73306297^73307168-,1,+,73306274^,73307168-,73306297^73307168-
1@+@73307363^73355073-@73307384^73355073-,1,+,73307363^,73355073-,73307384^73355073-
1@-@79023739^79005219-@79023657^79005219-,1,-,79023739^,79005219-,79023657^79005219-
1@+@78250373^78251494-@78251010^78251494-,1,+,78250373^,78251494-,78251010^78251494-
1@+@52405713^52412514-@52405839^52408569-52408690^52411115-52411200^52412514-,1,+,52405713^,52412514-,52405839^52408569-52408690^52411115-52411200^52412514-
1@-@62513471^62510673-@62513444^62510673-,1,-,62513471^,62510673-,62513444^62510673-
1@-@62488934^62477834-@62485659^62477834-,1,-,62488934^,62477834-,62485659^62477834-
1@+@43603527^43603611-@43603533^43603611-,1,+,43603527^,43603611-,43603533^43603611-
1@+@94827547^94828493-@94827643^94828493-,1,+,94827547^,94828493-,94827643^94828493-
1@+@82952728^82996715-@82952837^82996715-,1,+,82952728^,82996715-,82952837^82996715-
1@+@57860919^57862456-@57860935^57862456-,1,+,57860919^,57862456-,57860935^57862456-
1@+@57860926^57862456-@57861033^57862456-,1,+,57860926^,57862456-,57861033^57862456-
1@+@57862519^57864422-@57863040^57864422-,1,+,57862519^,57864422-,57863040^57864422-
1@+@57862927^57876731-@57863040^57876731-,1,+,57862927^,57876731-,57863040^57876731-
1@+@57862519^57876731-@57863040^57876731-,1,+,57862519^,57876731-,57863040^57876731-
1@+@57862519^57876731-@57862927^57876731-,1,+,57862519^,57876731-,57862927^57876731-
1@+@54702236^54706435-@54702245^54702623-54702745^54706435-,1,+,54702236^,54706435-,54702245^54702623-54702745^54706435-
1@+@99993741^99999261-@99993745^99999261-,1,+,99993741^,99999261-,99993745^99999261-
1@+@44220309^44220559-@44220443^44220559-,1,+,44220309^,44220559-,44220443^44220559-
1@+@109985172^110009034-@109985543^110009034-,1,+,109985172^,110009034-,109985543^110009034-
1@+@109173557^109188177-@109173579^109185045-109185133^109188177-,1,+,109173557^,109188177-,109173579^109185045-109185133^109188177-
1@+@109173557^109188177-@109173579^109173688-109173837^109185045-109185133^109188177-,1,+,109173557^,109188177-,109173579^109173688-109173837^109185045-109185133^109188177-
1@+@109173557^109188177-@109173579^109173688-109173837^109188177-,1,+,109173557^,109188177-,109173579^109173688-109173837^109188177-
1@+@95992122^95992403-@95992238^95992403-,1,+,95992122^,95992403-,95992238^95992403-
1@+@95992122^95992403-@95992238^95992403-,1,+,95992122^,95992403-,95992238^95992403-
1@+@96006421^96022533-@96006425^96022533-,1,+,96006421^,96022533-,96006425^96022533-
1@+@106041911^106046554-@106042040^106046554-,1,+,106041911^,106046554-,106042040^106046554-
1@+@43419944^43420153-@43419961^43420153-,1,+,43419944^,43420153-,43419961^43420153-
1@+@100720565^100723020-@100720751^100723020-,1,+,100720565^,100723020-,100720751^100723020-
1@-@55921365^55916144-@55921312^55916144-,1,-,55921365^,55916144-,55921312^55916144-
1@-@105618859^105606089-@105618775^105606089-,1,-,105618859^,105606089-,105618775^105606089-
1@+@117296633^117321124-@117296801^117321124-,1,+,117296633^,117321124-,117296801^117321124-
1@+@99970162^99993537-@99970300^99993537-,1,+,99970162^,99993537-,99970300^99993537-
1@+@99993741^99999261-@99993745^99999261-,1,+,99993741^,99999261-,99993745^99999261-
1@+@99993741^100007034-@99993745^99999261-99999415^100007034-,1,+,99993741^,100007034-,99993745^99999261-99999415^100007034-
1@+@99850618^99850975-@99850898^99850975-,1,+,99850618^,99850975-,99850898^99850975-
1@-@117118088^117116745-@117118034^117116745-,1,-,117118088^,117116745-,117118034^117116745-
1@+@115659767^115663661-@115659773^115663661-,1,+,115659767^,115663661-,115659773^115663661-
1@+@152189481^152248895-@152189655^152248895-,1,+,152189481^,152248895-,152189655^152248895-
1@+@152189481^152332583-@152189655^152248895-152249012^152251653-152251758^152332583-,1,+,152189481^,152332583-,152189655^152248895-152249012^152251653-152251758^152332583-
1@-@118036770^118031867-@118036626^118031867-,1,-,118036770^,118031867-,118036626^118031867-
1@+@117060557^117062387-@117060561^117062387-,1,+,117060557^,117062387-,117060561^117062387-
1@+@115922445^115924776-@115922566^115924776-,1,+,115922445^,115924776-,115922566^115924776-
1@-@121510456^121509804-@121510356^121509804-,1,-,121510456^,121509804-,121510356^121509804-
1@-@114623560^114623099-@114623507^114623099-,1,-,114623560^,114623099-,114623507^114623099-
1@-@68482641^68481612-@68482046^68481612-,1,-,68482641^,68481612-,68482046^68481612-
1@-@88887276^88864114-@88887261^88864114-,1,-,88887276^,88864114-,88887261^88864114-
1@-@88857373^88853346-@88857206^88853346-,1,-,88857373^,88853346-,88857206^88853346-
1@+@148163815^148174250-@148163866^148174250-,1,+,148163815^,148174250-,148163866^148174250-
1@+@148163815^148174250-@148163866^148174250-,1,+,148163815^,148174250-,148163866^148174250-
1@-@166069832^166060663-@166069512^166060663-,1,-,166069832^,166060663-,166069512^166060663-
1@-@166069835^166060663-@166069832^166060663-,1,-,166069835^,166060663-,166069832^166060663-
1@-@166069835^166060663-@166069512^166060663-,1,-,166069835^,166060663-,166069512^166060663-
1@-@100878424^100877903-@100878394^100877903-,1,-,100878424^,100877903-,100878394^100877903-
1@+@163322066^163326032-@163322212^163322867-163323095^163326032-,1,+,163322066^,163326032-,163322212^163322867-163323095^163326032-
1@-@211952611^211946705-@211952569^211946705-,1,-,211952611^,211946705-,211952569^211946705-
1@-@163152550^163147503-@163152538^163147503-,1,-,163152550^,163147503-,163152538^163147503-
1@-@219411849^219410267-@219411718^219410267-,1,-,219411849^,219410267-,219411718^219410267-
1@+@204141792^204142649-@204142016^204142649-,1,+,204141792^,204142649-,204142016^204142649-
1@-@171247581^171168188-@171247566^171168188-,1,-,171247581^,171168188-,171247566^171168188-
1@+@175004814^175006745-@175004833^175006745-,1,+,175004814^,175006745-,175004833^175006745-
1@-@204037256^204033867-@204036969^204033867-,1,-,204037256^,204033867-,204036969^204033867-
1@+@246780509^246781479-@246780583^246781479-,1,+,246780509^,246781479-,246780583^246781479-
1@+@246790846^246792057-@246791195^246792057-,1,+,246790846^,246792057-,246791195^246792057-
1@-@176163827^176162988-@176163815^176162988-,1,-,176163827^,176162988-,176163815^176162988-
1@+@160750093^160750304-@160750132^160750304-,1,+,160750093^,160750304-,160750132^160750304-
1@+@160750093^160751345-@160750132^160750304-160750423^160751345-,1,+,160750093^,160751345-,160750132^160750304-160750423^160751345-
1@+@160750093^160752186-@160750132^160750304-160750423^160751345-160751448^160752186-,1,+,160750093^,160752186-,160750132^160750304-160750423^160751345-160751448^160752186-
1@+@231260653^231262723-@231260683^231262723-,1,+,231260653^,231262723-,231260683^231262723-
1@-@91379063^91378480-@91379059^91378480-,1,-,91379063^,91378480-,91379059^91378480-
1@+@160167412^160171251-@160167429^160171251-,1,+,160167412^,160171251-,160167429^160171251-
1@+@160176562^160177519-@160176602^160177519-,1,+,160176562^,160177519-,160176602^160177519-
1@+@171282065^171283144-@171282333^171283144-,1,+,171282065^,171283144-,171282333^171283144-
1@-@157797759^157797132-@157797681^157797132-,1,-,157797759^,157797132-,157797681^157797132-
1@+@172588924^172590984-@172589926^172590984-,1,+,172588924^,172590984-,172589926^172590984-
1@-@209546057^209541429-@209546013^209542918-209542846^209541429-,1,-,209546057^,209541429-,209546013^209542918-209542846^209541429-
1@-@231462472^231374099-@231462438^231374099-,1,-,231462472^,231374099-,231462438^231374099-
1@+@209583772^209594955-@209583932^209594955-,1,+,209583772^,209594955-,209583932^209594955-
1@+@201996263^201997319-@201996409^201997319-,1,+,201996263^,201997319-,201996409^201997319-
1@+@201996263^201999902-@201996409^201997319-201997554^201999902-,1,+,201996263^,201999902-,201996409^201997319-201997554^201999902-
1@-@213015613^213008466-@213015609^213008466-,1,-,213015613^,213008466-,213015609^213008466-
1@+@182460734^182471282-@182460756^182471282-,1,+,182460734^,182471282-,182460756^182471282-
1@+@182554693^182560279-@182556222^182560279-,1,+,182554693^,182560279-,182556222^182560279-
1@+@198157096^198232553-@198157276^198232553-,1,+,198157096^,198232553-,198157276^198232553-
1@-@246999948^246999440-@246999912^246999440-,1,-,246999948^,246999440-,246999912^246999440-
1@-@246988125^246967792-@246988121^246967792-,1,-,246988125^,246967792-,246988121^246967792-
1@-@209153665^209151505-@209153506^209151505-,1,-,209153665^,209151505-,209153506^209151505-
1@-@209153572^209151505-@209153506^209151505-,1,-,209153572^,209151505-,209153506^209151505-
1@-@209153665^209151505-@209153572^209151505-,1,-,209153665^,209151505-,209153572^209151505-
1@-@221333916^221333074-@221333902^221333074-,1,-,221333916^,221333074-,221333902^221333074-
1@-@221333916^221333074-@221333835^221333074-,1,-,221333916^,221333074-,221333835^221333074-
1@-@221333902^221333074-@221333835^221333074-,1,-,221333902^,221333074-,221333835^221333074-
1@+@160683695^160684955-@160683785^160684955-,1,+,160683695^,160684955-,160683785^160684955-
1@-@242348106^242288530-@242348099^242288530-,1,-,242348106^,242288530-,242348099^242288530-
1@-@242265362^242220115-@242265337^242220115-,1,-,242265362^,242220115-,242265337^242220115-
1@-@205094987^205088815-@205094873^205088815-,1,-,205094987^,205088815-,205094873^205088815-
1@+@205858293^205862445-@205858320^205862445-,1,+,205858293^,205862445-,205858320^205862445-
1@+@205858293^205882515-@205858320^205862445-205862598^205864133-205864257^205882515-,1,+,205858293^,205882515-,205858320^205862445-205862598^205864133-205864257^205882515-
1@+@205858289^205891156-@205858320^205891156-,1,+,205858289^,205891156-,205858320^205891156-
1@+@205858289^205891156-@205858320^205868770-205868833^205891156-,1,+,205858289^,205891156-,205858320^205868770-205868833^205891156-
1@+@205858289^205891156-@205858320^205862445-205862598^205864133-205864257^205882515-205882549^205891156-,1,+,205858289^,205891156-,205858320^205862445-205862598^205864133-205864257^205882515-205882549^205891156-
1@+@205858289^205891156-@205858293^205882515-205882549^205891156-,1,+,205858289^,205891156-,205858293^205882515-205882549^205891156-
1@+@205858289^205891156-@205858293^205891156-,1,+,205858289^,205891156-,205858293^205891156-
1@+@205858289^205891156-@205858293^205862445-205862598^205864133-205864257^205882515-205882549^205891156-,1,+,205858289^,205891156-,205858293^205862445-205862598^205864133-205864257^205882515-205882549^205891156-
1@+@205858293^205891156-@205858320^205891156-,1,+,205858293^,205891156-,205858320^205891156-
1@+@205858293^205891156-@205858320^205868770-205868833^205891156-,1,+,205858293^,205891156-,205858320^205868770-205868833^205891156-
1@+@205858293^205891156-@205858320^205862445-205862598^205864133-205864257^205882515-205882549^205891156-,1,+,205858293^,205891156-,205858320^205862445-205862598^205864133-205864257^205882515-205882549^205891156-
1@-@233218031^233208689-@233217899^233208689-,1,-,233218031^,233208689-,233217899^233208689-
1@+@180562266^180565251-@180562344^180565251-,1,+,180562266^,180565251-,180562344^180565251-
1@+@180562344^180565251-@180562349^180565251-,1,+,180562344^,180565251-,180562349^180565251-
1@+@180562266^180565251-@180562349^180565251-,1,+,180562266^,180565251-,180562349^180565251-
1@+@185962659^185963768-@185962666^185963768-,1,+,185962659^,185963768-,185962666^185963768-
1@-@185563239^185558675-@185563168^185558675-,1,-,185563239^,185558675-,185563168^185558675-
1@-@23796697^23796265-@23796509^23796265-,1,-,23796697^,23796265-,23796509^23796265-
1@+@240768231^240771083-@240768304^240770766-240770902^240771083-,1,+,240768231^,240771083-,240768304^240770766-240770902^240771083-
1@+@240768231^240771083-@240768304^240771083-,1,+,240768231^,240771083-,240768304^240771083-
1@+@241436503^241446915-@241436522^241446915-,1,+,241436503^,241446915-,241436522^241446915-
1@-@159953445^159951866-@159953309^159951866-,1,-,159953445^,159951866-,159953309^159951866-
1@-@159953445^159951866-@159953309^159952534-159952262^159951866-,1,-,159953445^,159951866-,159953309^159952534-159952262^159951866-
1@-@159858169^159857966-@159858090^159857966-,1,-,159858169^,159857966-,159858090^159857966-
1@-@159854759^159841235-@159854757^159841235-,1,-,159854759^,159841235-,159854757^159841235-
1@-@159854759^159841235-@159854757^159841235-,1,-,159854759^,159841235-,159854757^159841235-
1@-@159854757^159841235-@159854753^159841235-,1,-,159854757^,159841235-,159854753^159841235-
1@-@159854922^159841235-@159854759^159841235-,1,-,159854922^,159841235-,159854759^159841235-
1@-@159840769^159838655-@159840711^159838655-,1,-,159840769^,159838655-,159840711^159838655-
1@-@159840769^159838451-@159840711^159838451-,1,-,159840769^,159838451-,159840711^159838451-
1@-@159840711^159838027-@159838365^159838027-,1,-,159840711^,159838027-,159838365^159838027-
1@-@159840769^159838027-@159838365^159838027-,1,-,159840769^,159838027-,159838365^159838027-
1@-@159840769^159838027-@159840711^159838027-,1,-,159840769^,159838027-,159840711^159838027-
1@-@159840769^159838027-@159840711^159838451-159838365^159838027-,1,-,159840769^,159838027-,159840711^159838451-159838365^159838027-
1@+@155136376^155136828-@155136396^155136828-,1,+,155136376^,155136828-,155136396^155136828-
1@+@155136376^155137561-@155136396^155136828-155136951^155137561-,1,+,155136376^,155137561-,155136396^155136828-155136951^155137561-
1@+@155136376^155137979-@155136396^155136828-155136951^155137561-155137722^155137979-,1,+,155136376^,155137979-,155136396^155136828-155136951^155137561-155137722^155137979-
1@-@155169791^155169560-@155169787^155169560-,1,-,155169791^,155169560-,155169787^155169560-
1@-@155206200^155205316-@155206193^155205316-,1,-,155206200^,155205316-,155206193^155205316-
1@-@155206200^155203539-@155206193^155205316-155205060^155203539-,1,-,155206200^,155203539-,155206193^155205316-155205060^155203539-
1@-@155203093^155202960-@155203086^155202960-,1,-,155203093^,155202960-,155203086^155202960-
1@-@155258826^155257657-@155258791^155257657-,1,-,155258826^,155257657-,155258791^155257657-
1@-@155257298^155256791-@155257285^155256791-,1,-,155257298^,155256791-,155257285^155256791-
1@-@10463058^10461702-@10462988^10461702-,1,-,10463058^,10461702-,10462988^10461702-
1@-@45497304^45496623-@45497299^45496623-,1,-,45497304^,45496623-,45497299^45496623-
1@+@239545749^239632224-@239545753^239632224-,1,+,239545749^,239632224-,239545753^239632224-
1@+@109093021^109094417-@109093082^109094417-,1,+,109093021^,109094417-,109093082^109094417-
1@+@155689174^155709773-@155689243^155709773-,1,+,155689174^,155709773-,155689243^155709773-
1@-@156018270^156015069-@156018132^156015069-,1,-,156018270^,156015069-,156018132^156015069-
1@-@156012395^156011887-@156012385^156011887-,1,-,156012395^,156011887-,156012385^156011887-
1@-@156018252^156011887-@156018132^156011887-,1,-,156018252^,156011887-,156018132^156011887-
1@-@156018252^156011887-@156018132^156015069-156014961^156011887-,1,-,156018252^,156011887-,156018132^156015069-156014961^156011887-
1@-@156018270^156009650-@156018252^156011887-156011810^156009650-,1,-,156018270^,156009650-,156018252^156011887-156011810^156009650-
1@-@156018270^156009650-@156018132^156011887-156011810^156009650-,1,-,156018270^,156009650-,156018132^156011887-156011810^156009650-
1@-@156018270^156009650-@156018132^156015069-156014961^156011887-156011810^156009650-,1,-,156018270^,156009650-,156018132^156015069-156014961^156011887-156011810^156009650-
1@-@156266541^156266380-@156266507^156266380-,1,-,156266541^,156266380-,156266507^156266380-
1@+@156285267^156286260-@156285983^156286260-,1,+,156285267^,156286260-,156285983^156286260-
1@-@182386362^182385887-@182386256^182385887-,1,-,182386362^,182385887-,182386256^182385887-
1@-@99710834^99709259-@99710806^99709259-,1,-,99710834^,99709259-,99710806^99709259-
1@+@151266112^151266308-@151266121^151266308-,1,+,151266112^,151266308-,151266121^151266308-
1@+@160211650^160213110-@160211716^160213110-,1,+,160211650^,160213110-,160211716^160213110-
1@+@43736380^43792102-@43736425^43792102-,1,+,43736380^,43792102-,43736425^43792102-
1@+@43736380^43792102-@43736425^43792102-,1,+,43736380^,43792102-,43736425^43792102-
1@+@43736380^43792102-@43736425^43792102-,1,+,43736380^,43792102-,43736425^43792102-
1@+@43801541^43814891-@43801545^43814891-,1,+,43801541^,43814891-,43801545^43814891-
1@+@43736380^43814891-@43736425^43814891-,1,+,43736380^,43814891-,43736425^43814891-
1@+@43736380^43814891-@43736425^43792102-43792149^43814891-,1,+,43736380^,43814891-,43736425^43792102-43792149^43814891-
1@+@43736380^43814891-@43736425^43814891-,1,+,43736380^,43814891-,43736425^43814891-
1@+@43736380^43814891-@43736425^43792102-43792149^43814891-,1,+,43736380^,43814891-,43736425^43792102-43792149^43814891-
1@+@43736380^43814891-@43736425^43792102-43792149^43801282-43801545^43814891-,1,+,43736380^,43814891-,43736425^43792102-43792149^43801282-43801545^43814891-
1@+@43814933^43838219-@43815004^43838219-,1,+,43814933^,43838219-,43815004^43838219-
1@+@43736380^43838219-@43736425^43814891-43814933^43838219-,1,+,43736380^,43838219-,43736425^43814891-43814933^43838219-
1@+@43736380^43838219-@43736425^43792102-43792149^43814891-43814933^43838219-,1,+,43736380^,43838219-,43736425^43792102-43792149^43814891-43814933^43838219-
1@+@43814933^43894383-@43815004^43838219-43838311^43894383-,1,+,43814933^,43894383-,43815004^43838219-43838311^43894383-
1@+@43736380^43894383-@43736425^43814891-43814933^43838219-43838311^43894383-,1,+,43736380^,43894383-,43736425^43814891-43814933^43838219-43838311^43894383-
1@+@43736380^43894383-@43736425^43792102-43792149^43814891-43814933^43838219-43838311^43894383-,1,+,43736380^,43894383-,43736425^43792102-43792149^43814891-43814933^43838219-43838311^43894383-
1@+@43899263^43899541-@43899289^43899541-,1,+,43899263^,43899541-,43899289^43899541-
1@+@43899263^43920404-@43899289^43899541-43899727^43920404-,1,+,43899263^,43920404-,43899289^43899541-43899727^43920404-
1@+@43920928^43930132-@43920940^43930132-,1,+,43920928^,43930132-,43920940^43930132-
1@+@43899263^43930132-@43899289^43930132-,1,+,43899263^,43930132-,43899289^43930132-
1@+@43899263^43930132-@43899289^43899541-43899727^43930132-,1,+,43899263^,43930132-,43899289^43899541-43899727^43930132-
1@+@43899263^43930132-@43899289^43899541-43899727^43920404-43920550^43920782-43920928^43930132-,1,+,43899263^,43930132-,43899289^43899541-43899727^43920404-43920550^43920782-43920928^43930132-
1@-@248859015^248858321-@248858918^248858321-,1,-,248859015^,248858321-,248858918^248858321-
1@-@248856373^248855946-@248856288^248855946-,1,-,248856373^,248855946-,248856288^248855946-
1@+@232008983^232026435-@232009049^232026435-,1,+,232008983^,232026435-,232009049^232026435-
1@+@32825429^32826098-@32825485^32826098-,1,+,32825429^,32826098-,32825485^32826098-
1@+@161167234^161168432-@161167486^161167995-161168127^161168432-,1,+,161167234^,161168432-,161167486^161167995-161168127^161168432-
1@-@161236530^161235977-@161236459^161235977-,1,-,161236530^,161235977-,161236459^161235977-
1@+@12007249^12009592-@12007295^12009592-,1,+,12007249^,12009592-,12007295^12009592-
1@-@161306789^161306464-@161306708^161306464-,1,-,161306789^,161306464-,161306708^161306464-
1@-@25818403^25817713-@25818223^25817713-,1,-,25818403^,25817713-,25818223^25817713-
1@+@25820349^25823019-@25820414^25823019-,1,+,25820349^,25823019-,25820414^25823019-
1@+@44635588^44636030-@44635666^44636030-,1,+,44635588^,44636030-,44635666^44636030-
1@+@44689874^44698063-@44689903^44697102-44697170^44698063-,1,+,44689874^,44698063-,44689903^44697102-44697170^44698063-
1@+@44776714^44777614-@44776774^44777614-,1,+,44776714^,44777614-,44776774^44777614-
1@+@44804501^44805266-@44804779^44805266-,1,+,44804501^,44805266-,44804779^44805266-
1@+@45013215^45013594-@45013354^45013594-,1,+,45013215^,45013594-,45013354^45013594-
1@+@27669540^27675728-@27669586^27670312-27670429^27675728-,1,+,27669540^,27675728-,27669586^27670312-27670429^27675728-
1@+@27669540^27675728-@27669586^27675728-,1,+,27669540^,27675728-,27669586^27675728-
1@+@27669540^27675728-@27669586^27669907-27670026^27670312-27670429^27675728-,1,+,27669540^,27675728-,27669586^27669907-27670026^27670312-27670429^27675728-
1@+@27882077^27882513-@27882125^27882513-,1,+,27882077^,27882513-,27882125^27882513-
1@-@17004707^17004411-@17004692^17004411-,1,-,17004707^,17004411-,17004692^17004411-
1@-@17004707^17004408-@17004692^17004408-,1,-,17004707^,17004408-,17004692^17004408-
1@-@16986805^16986358-@16986463^16986358-,1,-,16986805^,16986358-,16986463^16986358-
1@-@17028654^17027865-@17028600^17027865-,1,-,17028654^,17027865-,17028600^17027865-
1@+@42825735^42830444-@42825738^42830444-,1,+,42825735^,42830444-,42825738^42830444-
1@+@42835154^42835732-@42835165^42835732-,1,+,42835154^,42835732-,42835165^42835732-
1@+@42835760^42837158-@42835764^42837158-,1,+,42835760^,42837158-,42835764^42837158-
1@+@222872428^222942807-@222872432^222928430-222928570^222942807-,1,+,222872428^,222942807-,222872432^222928430-222928570^222942807-
1@+@222942970^222983080-@222943332^222983080-,1,+,222942970^,222983080-,222943332^222983080-
1@+@119721334^119723376-@119721654^119723376-,1,+,119721334^,119723376-,119721654^119723376-
1@+@119721321^119723376-@119721334^119723376-,1,+,119721321^,119723376-,119721334^119723376-
1@+@119721321^119723376-@119721654^119723376-,1,+,119721321^,119723376-,119721654^119723376-
1@+@119724875^119726851-@119724967^119726851-,1,+,119724875^,119726851-,119724967^119726851-
1@+@119724957^119726851-@119724967^119726851-,1,+,119724957^,119726851-,119724967^119726851-
1@+@119724875^119726851-@119724957^119726851-,1,+,119724875^,119726851-,119724957^119726851-
1@+@119721321^119726851-@119721334^119723376-119723441^119726851-,1,+,119721321^,119726851-,119721334^119723376-119723441^119726851-
1@+@119721321^119726851-@119721654^119723376-119723441^119726851-,1,+,119721321^,119726851-,119721654^119723376-119723441^119726851-
1@+@119741876^119742807-@119741897^119742807-,1,+,119741876^,119742807-,119741897^119742807-
1@+@235367504^235380019-@235367552^235380019-,1,+,235367504^,235380019-,235367552^235380019-
1@+@235367504^235380019-@235367552^235380019-,1,+,235367504^,235380019-,235367552^235380019-
1@+@235414469^235419473-@235414618^235419473-,1,+,235414469^,235419473-,235414618^235419473-
1@+@235419515^235427140-@235419561^235427140-,1,+,235419515^,235427140-,235419561^235427140-
1@+@235433098^235434204-@235433171^235434204-,1,+,235433098^,235434204-,235433171^235434204-
1@+@235438922^235441814-@235438988^235441814-,1,+,235438922^,235441814-,235438988^235441814-
1@+@235438922^235441814-@235438926^235441814-,1,+,235438922^,235441814-,235438926^235441814-
1@+@235438926^235441814-@235438988^235441814-,1,+,235438926^,235441814-,235438988^235441814-
1@+@235442911^235448349-@235442961^235448349-,1,+,235442911^,235448349-,235442961^235448349-
1@+@153968639^153968930-@153968699^153968930-,1,+,153968639^,153968930-,153968699^153968930-
1@-@3837292^3836692-@3837288^3836692-,1,-,3837292^,3836692-,3837288^3836692-
1@-@3837292^3835092-@3836495^3835092-,1,-,3837292^,3835092-,3836495^3835092-
1@-@3837292^3835092-@3837288^3836692-3836495^3835092-,1,-,3837292^,3835092-,3837288^3836692-3836495^3835092-
1@-@3829266^3828971-@3829133^3828971-,1,-,3829266^,3828971-,3829133^3828971-
1@-@3829266^3826744-@3829133^3828971-3828885^3826744-,1,-,3829266^,3826744-,3829133^3828971-3828885^3826744-
1@-@3829266^3826436-@3829133^3828971-3828885^3826744-3826708^3826436-,1,-,3829266^,3826436-,3829133^3828971-3828885^3826744-3826708^3826436-
1@+@3858844^3865762-@3858866^3865762-,1,+,3858844^,3865762-,3858866^3865762-
